Provincia,Mes,Anio,Temperatura,Precipitacion,Humedad,Vel_vientos,cantidad_casos
CHUBUT,10,2018,11.116129032258058,20.700000000000035,55.994623655913976,17.45967741935484,0
CHUBUT,10,2019,11.418279569892487,7.06666666666667,51.225806451612904,17.196236559139784,0
CHUBUT,11,2018,14.778333333333325,29.09999999999986,50.36388888888889,19.891666666666666,0
CHUBUT,11,2019,15.006111111111126,11.733333333333293,44.68333333333333,23.25,0
CHUBUT,12,2018,18.622043010752698,7.799999999999949,43.38978494623656,20.298387096774192,0
CHUBUT,12,2019,17.476612903225814,21.333333333333396,44.77150537634409,21.766129032258064,0
CORRIENTES,1,2018,26.28709677419355,189.7333333333326,69.3225806451613,13.75,0
CORRIENTES,1,2019,25.905913978494628,540.0333333333352,82.1236559139785,13.653225806451612,0
CORRIENTES,1,2020,26.082920110192845,146.90743801652826,70.78787878787878,13.433701657458563,23
CORRIENTES,2,2018,25.894940476190477,34.2333333333331,66.63095238095238,12.708333333333334,0
CORRIENTES,2,2019,25.009253731343286,116.76716417910495,72.57313432835821,11.97910447761194,0
CORRIENTES,2,2020,25.14797687861271,152.56069364161849,68.4393063583815,12.234104046242775,182
CORRIENTES,3,2018,23.6018817204301,200.13333333333273,70.89516129032258,13.120967741935484,1
CORRIENTES,3,2019,22.537903225806442,105.533333333333,75.44623655913979,12.196236559139784,0
CORRIENTES,3,2020,25.794134078212313,63.43016759776536,67.02234636871508,10.578212290502794,831
CORRIENTES,4,2018,24.05999999999998,109.9999999999996,77.76666666666667,11.197222222222223,3
CORRIENTES,4,2019,20.94805555555555,208.0,80.925,10.869444444444444,0
CORRIENTES,4,2020,20.196352583586624,56.21580547112473,67.40548780487805,12.644376899696049,677
CORRIENTES,5,2018,18.09408602150538,181.5333333333339,82.71236559139786,12.14516129032258,11
CORRIENTES,5,2019,18.3212365591398,211.03333333333396,87.33870967741936,12.21774193548387,0
CORRIENTES,5,2020,16.74076246334312,132.27272727272728,72.13489736070382,13.140762463343108,769
CORRIENTES,6,2018,12.46361111111111,38.333333333333584,80.73611111111111,11.91388888888889,0
CORRIENTES,6,2019,17.481944444444444,23.76666666666646,81.46388888888889,12.416666666666666,0
CORRIENTES,6,2020,16.402491103202856,58.922775800711726,76.72953736654804,15.544483985765124,84
CORRIENTES,7,2018,12.990591397849455,65.33333333333348,82.1236559139785,13.548387096774194,0
